               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12082,            0.036128,            0.032119,           0.0021328,               0.375,           0.0018703,           0.0004244,             0.12575,            0.030466,            0.035209,               3e-05,               3e-05,             0.09973
                   1,             0.11996,            0.039975,            0.031204,            0.002154,               0.375,           0.0018829,          0.00039611,             0.12524,            0.030209,            0.035204,          6.9938e-05,          6.9938e-05,             0.09937
                   2,             0.11822,            0.037896,            0.032359,           0.0024407,               0.375,           0.0021552,          0.00031608,             0.12466,            0.029904,             0.03528,          0.00010961,          0.00010961,             0.09901
                   3,             0.11909,            0.039024,            0.031439,           0.0026495,               0.375,           0.0023682,           0.0005793,             0.12424,            0.029592,             0.03523,           0.0001488,           0.0001488,            0.098649
                   4,             0.11826,             0.03705,            0.031574,           0.0022498,               0.375,           0.0020679,          0.00053013,             0.12403,              0.0293,            0.035038,          0.00018731,          0.00018731,            0.098287
                   5,             0.11962,            0.036768,            0.031856,           0.0023598,               0.375,             0.00212,          0.00045015,             0.12307,            0.029125,             0.03503,          0.00022493,          0.00022493,            0.097925
                   6,             0.12184,            0.034448,            0.029189,           0.0028034,               0.375,           0.0026192,          0.00045698,             0.12287,            0.028903,            0.034992,          0.00026147,          0.00026147,            0.097561
                   7,             0.10147,            0.036999,            0.027655,           0.0033567,               0.375,           0.0028332,          0.00039517,             0.12253,             0.02869,            0.035007,          0.00029672,          0.00029672,            0.097197
                   8,             0.10168,            0.035725,            0.027234,           0.0023454,                0.25,            0.001668,          0.00058656,             0.12237,            0.028498,            0.035086,          0.00033052,          0.00033052,            0.096831
                   9,             0.11263,              0.0445,            0.030837,           0.0028663,                0.25,           0.0020355,          0.00068856,             0.12186,             0.02844,            0.035096,          0.00036268,          0.00036268,            0.096463
                  10,            0.099452,             0.03987,            0.028585,           0.0037287,                0.25,           0.0022404,          0.00074554,             0.12085,             0.02848,            0.035101,          0.00039304,          0.00039304,            0.096093
                  11,            0.097878,            0.033362,            0.026839,            0.003317,                0.25,           0.0022398,          0.00078342,             0.11942,            0.028494,            0.035129,          0.00042146,          0.00042146,            0.095721
                  12,             0.10522,            0.039629,            0.030398,           0.0036768,                0.25,           0.0029753,          0.00083672,             0.11817,            0.028502,            0.035034,           0.0004478,           0.0004478,            0.095348
                  13,             0.10295,            0.040641,            0.029492,           0.0037397,             0.24399,           0.0029495,          0.00085657,              0.1169,            0.028556,            0.034972,          0.00047193,          0.00047193,            0.094972
                  14,            0.095621,             0.03668,            0.027316,           0.0036393,               0.125,           0.0029102,          0.00089854,             0.11562,            0.028644,            0.034813,          0.00049374,          0.00049374,            0.094594
                  15,            0.099862,            0.038864,            0.028026,           0.0063997,                0.25,           0.0061948,           0.0013625,             0.11442,            0.028755,            0.034659,          0.00051314,          0.00051314,            0.094213
                  16,            0.096937,            0.045684,            0.030484,           0.0071363,                0.25,           0.0076689,           0.0014348,             0.11364,            0.028828,            0.034417,          0.00053005,          0.00053005,             0.09383
                  17,            0.097727,            0.050547,            0.029565,           0.0087917,                0.25,            0.008399,           0.0014407,             0.11277,            0.028919,            0.034276,          0.00054442,          0.00054442,            0.093444
                  18,            0.096368,            0.044551,             0.02861,            0.010778,                0.25,           0.0092037,           0.0015943,             0.11143,            0.029132,            0.034035,           0.0005562,           0.0005562,            0.093056
                  19,            0.089263,            0.042195,            0.028969,            0.013221,                0.25,             0.01156,            0.002385,             0.11019,            0.029275,            0.033972,          0.00056537,          0.00056537,            0.092665
                  20,            0.091806,            0.045782,             0.03064,            0.012055,                0.25,             0.01188,           0.0025225,             0.10896,            0.029503,            0.033826,          0.00057192,          0.00057192,            0.092272
                  21,             0.08616,            0.045522,            0.027785,            0.013917,                0.25,            0.012385,            0.002734,             0.10757,            0.029795,            0.033726,          0.00057586,          0.00057586,            0.091876
                  22,            0.087396,            0.046069,            0.029238,            0.015928,                0.25,            0.013268,           0.0033015,             0.10591,            0.030207,            0.033683,          0.00057723,          0.00057723,            0.091477
                  23,            0.090871,            0.044942,            0.028775,            0.013035,                0.25,            0.013638,           0.0037474,             0.10372,            0.030687,            0.033513,          0.00057608,          0.00057608,            0.091076
                  24,            0.083831,            0.052188,            0.027916,            0.013456,                0.25,            0.014296,           0.0043822,             0.10258,            0.030955,            0.033268,          0.00057247,          0.00057247,            0.090672
                  25,            0.087403,            0.039201,            0.027028,            0.014944,                0.25,            0.016184,           0.0046415,             0.10173,            0.031184,            0.033199,           0.0005665,           0.0005665,            0.090266
                  26,            0.090346,            0.057206,            0.028663,            0.017522,                0.25,            0.014884,           0.0047244,             0.10099,            0.031298,            0.033194,          0.00055827,          0.00055827,            0.089858
                  27,            0.080699,            0.036442,            0.025923,            0.020668,                0.25,            0.017148,           0.0050427,            0.099606,            0.031833,            0.032959,           0.0005479,           0.0005479,            0.089448
                  28,            0.090918,            0.035465,            0.027282,             0.02426,                0.25,            0.018418,           0.0059022,            0.098848,            0.032082,            0.032978,          0.00053553,          0.00053553,            0.089036
                  29,            0.083295,            0.039407,            0.027474,            0.021446,                0.25,            0.018313,           0.0068937,            0.098052,            0.032318,            0.032915,          0.00052133,          0.00052133,            0.088621
                  30,            0.080343,             0.04611,            0.028829,            0.023161,                0.25,            0.019743,           0.0067255,            0.096746,            0.032763,            0.032582,          0.00050546,          0.00050546,            0.088205
                  31,            0.072332,            0.033833,            0.021655,            0.031707,               0.125,            0.023701,            0.010884,            0.095676,            0.033074,            0.032442,          0.00048812,          0.00048812,            0.087788
                  32,            0.083942,            0.044317,            0.028166,            0.034428,               0.125,            0.026467,            0.012403,            0.094983,             0.03322,            0.032442,           0.0004695,           0.0004695,             0.08737
                  33,             0.07785,             0.03659,            0.025415,            0.036295,               0.125,            0.027517,            0.012403,            0.094192,            0.033498,            0.032335,          0.00044983,          0.00044983,             0.08695
                  34,             0.07648,            0.049061,             0.02533,            0.041621,               0.125,            0.029315,            0.014398,            0.093542,              0.0336,            0.032141,          0.00042934,          0.00042934,            0.086529
                  35,            0.073614,            0.042431,            0.025024,            0.048802,               0.125,            0.032581,            0.016471,            0.093154,            0.033605,            0.031985,          0.00040826,          0.00040826,            0.086108
                  36,            0.080606,            0.050367,            0.026895,            0.051342,               0.125,            0.031699,            0.013823,            0.093442,            0.033444,            0.032063,          0.00038684,          0.00038684,            0.085687
                  37,            0.066484,            0.045452,            0.026077,            0.043621,               0.125,            0.030601,            0.013102,            0.092973,            0.033404,            0.031976,          0.00036535,          0.00036535,            0.085265
                  38,            0.081475,            0.045744,            0.027485,            0.039982,               0.125,            0.028585,            0.012734,             0.09289,            0.033401,            0.032019,          0.00034404,          0.00034404,            0.084844
                  39,             0.08034,            0.048328,            0.027616,            0.041625,               0.125,            0.028783,             0.01268,            0.093018,            0.033302,            0.032014,           0.0003232,           0.0003232,            0.084423
                  40,            0.072467,             0.04375,            0.026711,             0.03427,               0.125,             0.02843,            0.012021,             0.09275,            0.033352,            0.032043,          0.00030309,          0.00030309,            0.084003
                  41,            0.073214,            0.047045,            0.024504,            0.048736,               0.125,            0.031815,            0.015082,            0.092673,            0.033367,            0.032207,          0.00028399,          0.00028399,            0.083584
                  42,            0.077603,            0.040829,            0.026343,            0.048891,               0.125,            0.035513,            0.016326,            0.092619,            0.033389,            0.032189,          0.00026618,          0.00026618,            0.083166
                  43,            0.073599,            0.043294,            0.025283,            0.047986,               0.125,            0.039947,             0.01946,            0.092075,            0.033416,            0.032231,          0.00024995,          0.00024995,             0.08275
                  44,            0.064852,            0.039628,            0.022446,            0.077672,               0.125,            0.047702,            0.022827,            0.091897,            0.033326,            0.032228,          0.00023557,          0.00023557,            0.082336
                  45,             0.07938,            0.049741,            0.026297,            0.083168,               0.125,             0.05239,            0.025237,            0.092094,             0.03332,             0.03214,           0.0002233,           0.0002233,            0.081923
                  46,            0.079492,            0.042292,            0.025044,            0.070582,               0.125,            0.046479,            0.021873,            0.091959,             0.03331,            0.032108,          0.00021344,          0.00021344,            0.081513
                  47,            0.077412,            0.042593,            0.026353,            0.071451,               0.125,            0.051996,            0.025028,             0.09151,            0.033385,            0.031984,          0.00020622,          0.00020622,            0.081106
                  48,            0.074979,            0.037399,            0.022955,            0.095286,               0.125,            0.072136,            0.038026,            0.091053,             0.03347,            0.031913,          0.00020192,          0.00020192,            0.080702
                  49,            0.066008,            0.042849,            0.023985,             0.11079,               0.125,            0.073421,            0.038153,            0.090524,            0.033579,            0.031946,          0.00020077,          0.00020077,            0.080301
