               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.093766,            0.050098,            0.029095,           0.0058455,                 0.5,           0.0042956,          0.00060936,             0.11508,            0.028752,            0.034232,          0.00019211,          0.00019211,            0.092892
                  37,            0.097221,            0.041937,            0.028441,           0.0027057,                0.25,           0.0018202,          0.00036404,             0.11494,            0.028741,            0.034253,          0.00018147,          0.00018147,            0.092681
                  38,             0.09947,            0.048203,            0.029471,           0.0026971,                0.25,           0.0019791,          0.00039582,             0.11494,            0.028644,            0.034264,          0.00017091,          0.00017091,            0.092471
                  39,             0.10165,            0.038349,             0.02832,           0.0032258,                 0.5,           0.0032201,          0.00088647,             0.11492,            0.028569,            0.034177,          0.00016058,          0.00016058,            0.092261
                  40,              0.1053,            0.040854,            0.029098,           0.0032258,                 0.5,           0.0032306,           0.0010901,             0.11465,            0.028571,            0.034186,          0.00015061,          0.00015061,            0.092051
                  41,            0.094804,            0.038913,            0.027607,           0.0032362,                 0.5,           0.0033729,           0.0011367,             0.11469,            0.028424,            0.034188,          0.00014114,          0.00014114,            0.091841
                  42,             0.09148,            0.055949,            0.029199,           0.0032468,                 0.5,           0.0033736,            0.001136,             0.11445,            0.028447,            0.034079,          0.00013231,          0.00013231,            0.091632
                  43,            0.094088,             0.04117,            0.029457,           0.0032258,                 0.5,           0.0033904,          0.00071243,             0.11429,            0.028375,            0.034007,          0.00012426,          0.00012426,            0.091424
                  44,            0.093567,            0.033158,            0.028856,           0.0032258,                 0.5,           0.0034628,          0.00072136,             0.11423,            0.028353,            0.034033,          0.00011712,          0.00011712,            0.091217
                  45,            0.094967,            0.055816,            0.030329,            0.004933,                0.75,           0.0049646,          0.00086744,             0.11409,            0.028271,             0.03404,          0.00011104,          0.00011104,            0.091011
                  46,            0.098867,            0.037843,            0.028327,           0.0032154,                 0.5,           0.0034755,           0.0007164,             0.11405,            0.028264,            0.034113,          0.00010615,          0.00010615,            0.090806
                  47,            0.095388,            0.042249,            0.028067,           0.0049545,                0.75,           0.0050413,          0.00087625,             0.11395,            0.028209,             0.03413,          0.00010257,          0.00010257,            0.090603
                  48,            0.094334,              0.0305,            0.030247,           0.0049455,                0.75,           0.0050933,           0.0011248,             0.11376,            0.028248,            0.034035,          0.00010044,          0.00010044,              0.0904
                  49,             0.09924,            0.052813,            0.027922,           0.0032323,                0.25,           0.0036708,          0.00074231,             0.11345,            0.028244,            0.033968,          9.9879e-05,          9.9879e-05,              0.0902
